name,year,team,games_played,ftm,fta,tpa
Kyle Alexander,2016,Cleveland Cavaliers (CLE),78,106,213,3
Kyle Alexander,2015,Golden State Warriors (GSW),80,193,221,650
Kyle Alexander,2016,Minnesota Timberwolves (MIN),82,356,428,275
Kyle Alexander,2016,Houston Rockets (HOU),24,11,16,60
Kyle Alexander,2016,Minnesota Timberwolves (MIN),65,85,103,118
Kyle Alexander,2016,Indiana Pacers (IND),81,245,303,115
Kyle Alexander,2016,Toronto Raptors (TOR),37,18,22,29
Kyle Alexander,2016,Memphis Grizzlies (MEM),80,176,217,2
Kyle Alexander,2016,Denver Nuggets (DEN),74,60,94,20
Kyle Alexander,2016,Orlando Magic (ORL),75,107,160,75
Kyle Alexander,2016,Boston Celtics (BOS),79,304,359,602
Kyle Alexander,2016,Los Angeles Lakers (LAL),46,82,127,215
Kyle Alexander,2015,Washington Wizards (WAS),77,272,344,328
Kyle Alexander,2016,Houston Rockets (HOU),81,710,840,583
Kyle Alexander,2016,Indiana Pacers (IND),66,119,154,98
Kyle Alexander,2016,Portland Trail Blazers (POR),77,225,358,0
Kyle Alexander,2016,Los Angeles Clippers (LAC),23,98,113,129
Kyle Alexander,2016,Golden State Warriors (GSW),82,412,542,289
Kyle Alexander,2016,Milwaukee Bucks (MIL),76,131,150,354
Kyle Alexander,2015,Detroit Pistons (DET),17,13,21,11
Kyle Alexander,2016,Dallas Mavericks (DAL),27,42,55,30
Kyle Alexander,2016,Chicago Bulls (CHI),74,45,86,118
Kyle Alexander,2016,Memphis Grizzlies (MEM),18,29,47,35
Kyle Alexander,2016,Charlotte Hornets (CHA),62,133,196,1
Kyle Alexander,2016,Washington Wizards (WAS),76,84,93,409
Kyle Alexander,2016,Brooklyn Nets (BKN),24,32,41,72
Kyle Alexander,2015,Cleveland Cavaliers (CLE),27,45,62,2
Kyle Alexander,2016,Los Angeles Clippers (LAC),38,32,49,3
Kyle Alexander,2015,Denver Nuggets (DEN),69,72,92,260
Kyle Alexander,2016,Brooklyn Nets (BKN),19,4,8,35
Kyle Alexander,2016,Brooklyn Nets (BKN),20,25,39,5
Kyle Alexander,2016,Memphis Grizzlies (MEM),65,61,82,230
Kyle Alexander,2016,Houston Rockets (HOU),72,129,150,506
Kyle Alexander,2015,Los Angeles Lakers (LAL),65,476,663,210
Kyle Alexander,2014,San Antonio Spurs (SAS),71,100,166,133
Kyle Alexander,2016,Brooklyn Nets (BKN),76,71,90,261
Kyle Alexander,2013,Oklahoma City Thunder (OKC),82,53,68,174
Kyle Alexander,2016,Atlanta Hawks (ATL),34,35,43,93
Kyle Alexander,2016,Los Angeles Clippers (LAC),76,590,649,646
Kyle Alexander,2015,Memphis Grizzlies (MEM),61,34,59,0
Kyle Alexander,2016,Minnesota Timberwolves (MIN),79,105,124,302
Kyle Alexander,2016,Philadelphia 76ers (PHI),57,22,29,70
Kyle Alexander,2013,Houston Rockets (HOU),52,44,69,53
Kyle Alexander,2016,Detroit Pistons (DET),65,98,129,128
Kyle Alexander,2015,Portland Trail Blazers (POR),72,229,289,69
Kyle Alexander,2016,Phoenix Suns (PHX),73,195,254,250
Kyle Alexander,2015,Atlanta Hawks (ATL),57,107,185,3
Kyle Alexander,2013,Phoenix Suns (PHX),8,2,2,11
Kyle Alexander,2016,Atlanta Hawks (ATL),10,3,10,0
Kyle Alexander,2013,Sacramento Kings (SAC),77,52,73,167
Kyle Alexander,2016,Houston Rockets (HOU),9,0,0,6
Kyle Alexander,2013,Phoenix Suns (PHX),8,2,2,11
Kyle Alexander,2015,Toronto Raptors (TOR),57,19,24,111
Kyle Alexander,2013,Sacramento Kings (SAC),77,52,73,167
Kyle Alexander,2015,Detroit Pistons (DET),17,13,21,11
Kyle Alexander,2016,Houston Rockets (HOU),9,0,0,6
