name,year,team,games_played,ftm,fta,tpa
Grayson Allen,2014,Detroit Pistons (DET),51,152,187,271
Grayson Allen,2014,Oklahoma City Thunder (OKC),77,148,179,148
Grayson Allen,2014,Philadelphia 76ers (PHI),68,61,77,192
Grayson Allen,2014,Houston Rockets (HOU),52,45,58,78
Grayson Allen,2014,Boston Celtics (BOS),67,82,127,272
Grayson Allen,2014,Washington Wizards (WAS),25,28,48,55
Grayson Allen,2014,Detroit Pistons (DET),72,44,55,197
Grayson Allen,2014,Atlanta Hawks (ATL),73,275,319,207
Grayson Allen,2014,Brooklyn Nets (BKN),52,35,48,88
Grayson Allen,2014,Cleveland Cavaliers (CLE),82,159,248,0
Grayson Allen,2013,Golden State Warriors (GSW),81,147,185,535
Grayson Allen,2014,Houston Rockets (HOU),78,104,143,252
Grayson Allen,2014,Minnesota Timberwolves (MIN),82,106,141,119
Grayson Allen,2014,Memphis Grizzlies (MEM),80,217,276,1
Grayson Allen,2014,Denver Nuggets (DEN),25,18,26,13
Grayson Allen,2014,Orlando Magic (ORL),74,164,218,6
Grayson Allen,2014,Boston Celtics (BOS),62,234,283,280
Grayson Allen,2014,Los Angeles Lakers (LAL),47,70,112,160
Grayson Allen,2013,Washington Wizards (WAS),82,317,394,308
Grayson Allen,2014,Houston Rockets (HOU),67,546,654,288
Grayson Allen,2014,Indiana Pacers (IND),40,14,19,21
Grayson Allen,2014,Portland Trail Blazers (POR),48,78,156,0
Grayson Allen,2014,Los Angeles Clippers (LAC),80,340,395,447
Grayson Allen,2014,Golden State Warriors (GSW),82,354,466,126
Grayson Allen,2014,Milwaukee Bucks (MIL),78,62,87,265
Grayson Allen,2014,Chicago Bulls (CHI),28,43,71,50
Grayson Allen,2014,Charlotte Hornets (CHA),62,127,164,1
Grayson Allen,2014,Washington Wizards (WAS),70,130,161,446
Grayson Allen,2013,Denver Nuggets (DEN),82,195,230,510
Grayson Allen,2014,Memphis Grizzlies (MEM),52,50,63,228
Grayson Allen,2014,Houston Rockets (HOU),61,129,151,359
Grayson Allen,2013,Los Angeles Lakers (LAL),71,432,595,7
Grayson Allen,2012,San Antonio Spurs (SAS),44,32,51,83
