name,year,team,games_played,ftm,fta,tpa
Steven Adams,2013,Denver Nuggets (DEN),41,26,32,33
Steven Adams,2012,Denver Nuggets (DEN),73,50,65,65
Steven Adams,2019,Sacramento Kings (SAC),21,51,70,57
Steven Adams,2018,Sacramento Kings (SAC),67,127,175,300
Steven Adams,2017,Sacramento Kings (SAC),65,160,201,274
Steven Adams,2016,Sacramento Kings (SAC),73,119,168,266
Steven Adams,2015,Sacramento Kings (SAC),75,123,151,305
Steven Adams,2014,Sacramento Kings (SAC),75,60,100,132
Steven Adams,2013,Sacramento Kings (SAC),23,47,73,89
Steven Adams,2012,Sacramento Kings (SAC),61,27,44,34
Steven Adams,2019,Phoenix Suns (PHX),42,56,75,168
Steven Adams,2018,Phoenix Suns (PHX),51,53,62,61
Steven Adams,2017,Phoenix Suns (PHX),81,59,78,21
Steven Adams,2016,Phoenix Suns (PHX),75,79,94,0
Steven Adams,2015,Phoenix Suns (PHX),81,126,165,2
Steven Adams,2014,Phoenix Suns (PHX),70,90,104,4
Steven Adams,2013,Phoenix Suns (PHX),53,19,21,0
Steven Adams,2012,Phoenix Suns (PHX),16,7,12,1
Steven Adams,2019,New Orleans Pelicans (NOP),56,38,67,363
Steven Adams,2018,New Orleans Pelicans (NOP),47,20,48,228
Steven Adams,2017,New Orleans Pelicans (NOP),52,32,71,295
Steven Adams,2019,Sacramento Kings (SAC),64,196,244,243
Steven Adams,2018,Sacramento Kings (SAC),28,64,80,130
Steven Adams,2017,Sacramento Kings (SAC),77,259,313,333
Steven Adams,2016,Sacramento Kings (SAC),79,242,281,222
Steven Adams,2015,Sacramento Kings (SAC),66,102,134,214
Steven Adams,2014,Sacramento Kings (SAC),82,108,150,215
Steven Adams,2013,Sacramento Kings (SAC),78,130,181,190
Steven Adams,2012,Sacramento Kings (SAC),81,144,190,145
Steven Adams,2019,Denver Nuggets (DEN),2,3,4,0
Steven Adams,2018,Denver Nuggets (DEN),30,18,28,52
Steven Adams,2019,Charlotte Hornets (CHA),22,9,10,49
Steven Adams,2018,Charlotte Hornets (CHA),75,77,89,298
Steven Adams,2017,Charlotte Hornets (CHA),64,108,130,274
Steven Adams,2016,Charlotte Hornets (CHA),77,243,284,405
Steven Adams,2015,Charlotte Hornets (CHA),70,163,192,399
Steven Adams,2014,Charlotte Hornets (CHA),71,84,98,309
Steven Adams,2013,Charlotte Hornets (CHA),82,163,203,402
Steven Adams,2012,Charlotte Hornets (CHA),73,178,210,444
Steven Adams,2011,Charlotte Hornets (CHA),59,133,159,274
Steven Adams,2010,Charlotte Hornets (CHA),80,138,164,342
Steven Adams,2009,Charlotte Hornets (CHA),37,43,51,132
Steven Adams,2008,Charlotte Hornets (CHA),79,42,52,168
